DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2014,17:35,QUEENS,11385,40.6942755,-73.9018516,POINT (-73.9018516 40.6942755),WYCKOFF AVENUE                  ,DECATUR STREET                  ,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,355961,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/19/2016,15:30,MANHATTAN,10025.0,40.797916,-73.96385,POINT (-73.96385 40.797916),WEST 104 STREET                 ,COLUMBUS AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3584056,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
12/03/2012,10:40,,,,,,SHORE ROAD                      ,PARK DRIVE                      ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,89391,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2015,11:15,,,40.5841392,-73.9638471,POINT (-73.9638471 40.5841392),,,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3221148,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/09/2014,6:15,QUEENS,11101,40.7471204,-73.94238229999999,POINT (-73.9423823 40.7471204),JACKSON AVENUE                  ,44 DRIVE                        ,,3.0,0.0,0,0,0,0,3,0,Unspecified,,,,,244796,LARGE COM VEH(6 OR MORE TIRES),,,,
10/10/2015,6:35,MANHATTAN,10011.0,40.74044310000001,-74.0020208,POINT (-74.0020208 40.7404431),WEST 15 STREET                  ,8 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3312250,PASSENGER VEHICLE,UNKNOWN,,,
05/10/2013,11:00,,,40.74791079999999,-73.9680575,POINT (-73.9680575 40.7479108),,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,2840863,BUS,TAXI,,,
11/21/2016,13:20,,,40.626163,-74.15742,POINT (-74.15742 40.626163),,,2045      FOREST AVENUE                 ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3565087,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/21/2014,16:56,BROOKLYN,11201,40.69984779999999,-73.99103079999999,POINT (-73.9910308 40.6998478),CADMAN PLAZA WEST               ,MIDDAGH STREET                  ,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,2812026,OTHER,PASSENGER VEHICLE,,,
06/17/2013,16:40,BROOKLYN,11226,40.6503881,-73.958708,POINT (-73.958708 40.6503881),CHURCH AVENUE                   ,FLATBUSH AVENUE                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,150238,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
